mes,account_id,entradas_total,saidas_total,balanco
1.0,2569200459575096,6622.15,1826.3,4795.85
2.0,2569200459575096,2510.59,4934.91,-2424.32
3.0,2569200459575096,2221.55,3205.17,-983.62
4.0,2569200459575096,4492.74,540.4,3952.34
5.0,2569200459575096,1825.52,2429.55,-604.03
6.0,2569200459575096,2322.68,3059.74,-737.06
7.0,2569200459575096,3003.19,8062.59,-5059.4
8.0,2569200459575096,80.6,2333.27,-2252.67
9.0,2569200459575096,2401.67,3796.14,-1394.47
10.0,2569200459575096,1542.31,457.52,1084.79
11.0,2569200459575096,253.42,5605.24,-5351.82
12.0,2569200459575096,7881.35,3179.07,4702.28
1.0,2572645138169593,3314.38,1467.31,1847.07
2.0,2572645138169593,3027.06,1032.8,1994.26
3.0,2572645138169593,1491.24,6602.16,-5110.92
4.0,2572645138169593,0.0,1556.52,-1556.52
5.0,2572645138169593,2426.07,4344.24,-1918.17
6.0,2572645138169593,0.0,2282.97,-2282.97
7.0,2572645138169593,3051.84,959.94,2091.9
8.0,2572645138169593,794.32,2953.02,-2158.7
9.0,2572645138169593,1499.75,3594.81,-2095.06
10.0,2572645138169593,5112.71,1909.49,3203.22
11.0,2572645138169593,122.07,3244.96,-3122.89
12.0,2572645138169593,5525.53,3468.11,2057.42
1.0,2969674447809961,9013.62,3569.48,5444.14
2.0,2969674447809961,5385.27,10793.1,-5407.83
3.0,2969674447809961,7738.5,8347.14,-608.64
4.0,2969674447809961,11559.14,6222.84,5336.3
5.0,2969674447809961,4842.15,10456.61,-5614.46
6.0,2969674447809961,6472.0,11931.7,-5459.7
7.0,2969674447809961,5921.24,4771.53,1149.71
8.0,2969674447809961,5500.21,5264.15,236.06
9.0,2969674447809961,11285.98,11487.28,-201.3
10.0,2969674447809961,13091.84,6490.52,6601.32
11.0,2969674447809961,8091.03,10016.59,-1925.56
12.0,2969674447809961,6941.2,5604.97,1336.23
1.0,5756422114496119,2926.91,2170.55,756.36
2.0,5756422114496119,1558.4,5037.07,-3478.67
3.0,5756422114496119,3003.12,1448.2,1554.92
4.0,5756422114496119,3359.87,3141.32,218.55
5.0,5756422114496119,4476.35,993.32,3483.03
6.0,5756422114496119,2438.9,1447.18,991.72
7.0,5756422114496119,144.11,1511.15,-1367.04
8.0,5756422114496119,2068.28,1694.63,373.65
9.0,5756422114496119,5136.33,2308.74,2827.59
10.0,5756422114496119,4868.09,665.38,4202.71
11.0,5756422114496119,2541.35,5276.75,-2735.4
1.0,5763135580788529,6460.05,11030.11,-4570.06
2.0,5763135580788529,9588.11,10500.18,-912.07
3.0,5763135580788529,9231.79,5961.13,3270.66
4.0,5763135580788529,8062.33,8461.61,-399.28
5.0,5763135580788529,6232.95,6642.51,-409.56
6.0,5763135580788529,13262.04,10137.65,3124.39
7.0,5763135580788529,10655.48,12511.01,-1855.53
8.0,5763135580788529,7835.06,15516.67,-7681.61
9.0,5763135580788529,6129.13,10244.07,-4114.94
10.0,5763135580788529,3008.34,4579.57,-1571.23
11.0,5763135580788529,5153.3,4879.95,273.35
12.0,5763135580788529,5671.53,5963.33,-291.8
1.0,6731171884115662,9660.82,5316.85,4343.97
2.0,6731171884115662,6187.05,10174.52,-3987.47
3.0,6731171884115662,10576.39,7207.79,3368.6
4.0,6731171884115662,6966.77,9421.59,-2454.82
5.0,6731171884115662,8990.84,7322.88,1667.96
6.0,6731171884115662,2315.79,10612.53,-8296.74
7.0,6731171884115662,8881.83,7878.02,1003.81
8.0,6731171884115662,6586.99,14221.67,-7634.68
9.0,6731171884115662,7389.15,5670.81,1718.34
10.0,6731171884115662,5565.68,13550.66,-7984.98
11.0,6731171884115662,1980.65,9270.29,-7289.64
12.0,6731171884115662,11651.81,6935.32,4716.49
1.0,6754575908057409,5780.74,0.0,5780.74
2.0,6754575908057409,0.0,4965.79,-4965.79
3.0,6754575908057409,730.27,1798.52,-1068.25
4.0,6754575908057409,0.0,1906.57,-1906.57
5.0,6754575908057409,776.89,1498.79,-721.9
6.0,6754575908057409,1785.74,0.0,1785.74
7.0,6754575908057409,2114.23,5903.99,-3789.76
8.0,6754575908057409,1785.6,1511.51,274.09
9.0,6754575908057409,420.56,838.1,-417.54
10.0,6754575908057409,0.0,1146.66,-1146.66
11.0,6754575908057409,2030.72,1665.46,365.26
12.0,6754575908057409,912.4,926.37,-13.97
1.0,6759884497455352,4308.37,1542.19,2766.18
2.0,6759884497455352,3691.7,3111.46,580.24
3.0,6759884497455352,0.0,2632.23,-2632.23
4.0,6759884497455352,504.99,2321.54,-1816.55
5.0,6759884497455352,512.04,2294.56,-1782.52
6.0,6759884497455352,1234.13,963.05,271.08
7.0,6759884497455352,2362.1,1039.29,1322.81
8.0,6759884497455352,63.7,4102.44,-4038.74
9.0,6759884497455352,6284.67,0.0,6284.67
10.0,6759884497455352,3115.89,744.91,2370.98
